system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,hospital_slug
NYU Langone,NYU Langone|Brooklyn,Cigna,95851,CPT,both,,CIGNA GREAT WEST PPO 1442,NationalPPO,393.0,44.38,-348.62,0.1129262086513995,7.855340243352861,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,Cigna,95851,CPT,both,,CIGNA PPO 1047,NationalPPO,393.0,44.38,-348.62,0.1129262086513995,7.855340243352861,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO (SUNSET PARK EMPLOYEES) 4206,ChoiceEPO,1410.81,150.0,-1260.81,0.10632190018500011,8.4054,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO (SUNSET PARK EMPLOYEES) 4206,SelectEPO,1410.81,150.0,-1260.81,0.10632190018500011,8.4054,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO 1155,ChoiceEPO,1410.81,150.0,-1260.81,0.10632190018500011,8.4054,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO 1155,SelectEPO,1410.81,150.0,-1260.81,0.10632190018500011,8.4054,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,61797,CPT,both,,UNITED HEALTHCARE EPO (SUNSET PARK EMPLOYEES) 4206,ChoiceEPO50,63112.97,6506.0,-56606.97,0.10308499188043281,8.70073316938211,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,61797,CPT,both,,UNITED HEALTHCARE EPO 1155,ChoiceEPO50,63112.97,6506.0,-56606.97,0.10308499188043281,8.70073316938211,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,61797,CPT,both,,UNITED HEALTHCARE POS 1159,POSChoicePlus,63112.97,6506.0,-56606.97,0.10308499188043281,8.70073316938211,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Brooklyn,UnitedHealthcare,61797,CPT,both,,UNITED HEALTHCARE PPO 1160,NationalPPO,63112.97,6506.0,-56606.97,0.10308499188043281,8.70073316938211,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
