system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,payer_min,payer_max,payer_count,inside_payer_range,hospital_slug
White Plains,White Plains Hospital,Cigna,584,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,58544.59,68016.46,9471.87000000001,1.1617889885299395,0.1617889885299395,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,61215.46,68016.46,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,618,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,35602.02,45063.65,9461.630000000005,1.265761043895824,0.26576104389582406,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,40557.71,45063.65,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,619,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,77964.13,91741.36,13777.229999999996,1.176712418903411,0.17671241890341102,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,82568.09,91741.36,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,624,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,28684.65,39776.62,11091.970000000001,1.3866866076455526,0.3866866076455526,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,35799.33,39776.62,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,625,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,81981.87,95957.64,13975.770000000004,1.1704739108781004,0.1704739108781003,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,86362.78,95957.64,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,642,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,35490.5,45184.38,9693.879999999997,1.2731401360927572,0.27314013609275717,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,40666.37,45184.38,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,666,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,47103.33,55580.51,8477.18,1.1799698662493714,0.17996986624937134,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,50022.98,55580.51,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,709,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,64255.21,73938.95,9683.739999999998,1.1507074679236127,0.1507074679236127,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,66545.75,73938.95,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,711,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,54635.52,66208.58,11573.060000000005,1.2118230045216007,0.21182300452160072,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,59588.34,66208.58,3,False,white-plains-hospital
White Plains,White Plains Hospital,Cigna,744,MS-DRG,inpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,55873.72,65106.05,9232.330000000002,1.1652356420871923,0.16523564208719235,False,4/1/2026,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,58596.06,65106.05,3,False,white-plains-hospital
